geometry,event_uniq,occurrence,district,divisional,near_x,x_coordina,orig_fid,crimestopp,y_coordina,near_y,near_dist,event_un_1,y,x,near_fid,objectid
POINT (-79.5478604122 43.6862060896),GO-201684355,2016-01-14T00:00:00.000Z,d23,http://www.torontopolice.on.ca/d23/,-79.5478604124,617004,17,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4838001,43.6862060892,0.000598452794936,84355,43.6858,-79.5483,12689,18
POINT (-79.5478604122 43.6862060896),GO-201684355,2016-01-14T00:00:00.000Z,d23,http://www.torontopolice.on.ca/d23/,-79.5478604124,617004,18,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4838001,43.6862060892,0.000598452794936,84355,43.6858,-79.5483,12689,19
POINT (-79.5478604122 43.6862060896),GO-201684355,2016-01-14T00:00:00.000Z,d23,http://www.torontopolice.on.ca/d23/,-79.5478604124,617004,19,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4838001,43.6862060892,0.000598452794936,84355,43.6858,-79.5483,12689,20
POINT (-79.2107157198 43.8081997556),GO-201678752,2016-01-14T00:00:00.000Z,d42,http://www.torontopolice.on.ca/d42/,-79.2107157198,643937,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4852116,43.8081997558,0.000237668373526,78752,43.8081,-79.2105,11172,21
POINT (-79.2107157198 43.8081997556),GO-201678752,2016-01-14T00:00:00.000Z,d42,http://www.torontopolice.on.ca/d42/,-79.2107157198,643937,21,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4852116,43.8081997558,0.000237668373526,78752,43.8081,-79.2105,11172,22
POINT (-79.3757635105 43.6474607382),GO-201684984,2016-01-15T00:00:00.000Z,d51,http://www.torontopolice.on.ca/d51/,-79.3757635104,631059,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834020,43.647460738,0.000874667956952,84984,43.6476,-79.3749,3894,23
POINT (-79.3757635105 43.6474607382),GO-201684984,2016-01-15T00:00:00.000Z,d51,http://www.torontopolice.on.ca/d51/,-79.3757635104,631059,23,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834020,43.647460738,0.000874667956952,84984,43.6476,-79.3749,3894,24
POINT (-79.5347948619 43.7312246791),GO-2016101003,2016-01-17T00:00:00.000Z,d31,http://www.torontopolice.on.ca/d31/,-79.5347948621,617913,24,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4842973,43.7312246791,0.00137892177471,101003,43.7304,-79.5359,12948,25
POINT (-79.3341857362 43.7149264005),GO-201697648,2016-01-17T00:00:00.000Z,d54,http://www.torontopolice.on.ca/d54/,-79.3341857366,634160,25,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841502,43.7149264003,0.000669859249578,97648,43.7144,-79.3346,6435,26
POINT (-79.3341857362 43.7149264005),GO-201697648,2016-01-17T00:00:00.000Z,d54,http://www.torontopolice.on.ca/d54/,-79.3341857366,634160,26,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841502,43.7149264003,0.000669859249578,97648,43.7144,-79.3346,6435,27
POINT (-79.3341857362 43.7149264005),GO-201697648,2016-01-17T00:00:00.000Z,d54,http://www.torontopolice.on.ca/d54/,-79.3341857366,634160,27,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841502,43.7149264003,0.000669859249578,97648,43.7144,-79.3346,6435,28
POINT (-79.5193692027 43.696472555),GO-2016108027,2016-01-18T00:00:00.000Z,d12,http://www.torontopolice.on.ca/d12/,-79.5193692023,619359,28,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4839284,43.6964725547,0.000776008885114,108027,43.697,-79.5188,13271,29
POINT (-79.4687638035 43.6902735191),GO-2016244175,2016-01-18T00:00:00.000Z,d12,http://www.torontopolice.on.ca/d12/,-79.4687638037,623414,29,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4838632,43.690273519,0.000206951948323,244175,43.6904,-79.4686,19957,30
POINT (-79.5087495035 43.5974412428),GO-2016108786,2016-01-19T00:00:00.000Z,d22,http://www.torontopolice.on.ca/d22/,-79.5087495031,620315,30,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4828289,43.597441243,0.000795992555176,108786,43.5979,-79.5094,18258,31
POINT (-79.3335579554 43.7957558724),GO-2016120610,2016-01-20T00:00:00.000Z,d42,http://www.torontopolice.on.ca/d42/,-79.3335579553,634089,31,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4850570,43.7957558727,0.000433278330007,120610,43.796,-79.3332,6477,32
POINT (-79.5436006124 43.6707411067),GO-2016119350,2016-01-20T00:00:00.000Z,d22,http://www.torontopolice.on.ca/d22/,-79.5436006121,617383,32,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4836322,43.6707411067,0.000330974660284,119350,43.6706,-79.5439,16979,33
POINT (-79.3335579554 43.7957558724),GO-2016120610,2016-01-20T00:00:00.000Z,d42,http://www.torontopolice.on.ca/d42/,-79.3335579553,634089,33,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4850570,43.7957558727,0.000433278330007,120610,43.796,-79.3332,6477,34
