geometry,event_uniq,crime_type,objectid,district,occurren_4,crimestopp,divisional,datecon
POINT (-79.553514944 43.74770422),GO-2016969775,Assault,170,d31,12,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.46339036 43.750251127),GO-2016951409,Assault,171,d32,18,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.202793971 43.749838414),GO-2016957920,Assault,172,d43,17,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.523502097 43.749043654),GO-2016960928,Assault,173,d31,11,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.252901384 43.751472513),GO-2016975925,Assault,174,d43,12,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.516490469 43.752508744),GO-2016964285,Assault,175,d31,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.530475027 43.753250378),GO-2016933639,Assault,176,d31,10,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.518124634 43.754484646),GO-2016969598,Assault,177,d31,12,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.515363109 43.757612157),GO-2016945400,Assault,178,d31,21,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.229358359 43.756900768),GO-2016950272,Assault,179,d43,16,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.229358359 43.756900768),GO-2016970092,Assault,180,d43,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.239564703 43.760332978),GO-2016978165,Assault,181,d43,19,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.411156209 43.762352196),GO-2016967702,Assault,182,d32,3,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.411156209 43.762352196),GO-2016940666,Assault,183,d32,9,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.182555791 43.763025354),GO-2016975139,Assault,184,d43,9,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.204782836 43.763966582),GO-2016960018,Assault,185,d43,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.503766723 43.765250298),GO-2016958467,Assault,186,d31,19,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.196895432 43.76361308),GO-2016971181,Assault,187,d43,16,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.190592646 43.764943151),GO-2016940949,Assault,188,d43,10,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.188609394 43.76396898),GO-2016956970,Assault,189,d43,15,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.190592646 43.764943151),GO-2016971315,Assault,190,d43,17,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.47148067 43.767826452),GO-2016976414,Assault,191,d32,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.268256161 43.767082134),GO-2016934791,Assault,192,d41,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/,
POINT (-79.401373262 43.768001128),GO-2016957002,Assault,193,d32,15,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
